SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,AMT_BALANCE,AMT_CREDIT_LIMIT_ACTUAL,AMT_DRAWINGS_ATM_CURRENT,AMT_DRAWINGS_CURRENT,AMT_DRAWINGS_OTHER_CURRENT,AMT_DRAWINGS_POS_CURRENT,AMT_INST_MIN_REGULARITY,AMT_PAYMENT_CURRENT,AMT_PAYMENT_TOTAL_CURRENT,AMT_RECEIVABLE_PRINCIPAL,AMT_RECIVABLE,AMT_TOTAL_RECEIVABLE,CNT_DRAWINGS_ATM_CURRENT,CNT_DRAWINGS_CURRENT,CNT_DRAWINGS_OTHER_CURRENT,CNT_DRAWINGS_POS_CURRENT,CNT_INSTALMENT_MATURE_CUM,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
1375058,100662,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Active,0,0
1727561,100218,-4,748180.935,720000,0,21073.905,0,21073.905,36990.45,45000,45000,719928.675,741427.74,741427.74,0,8,0,8,8,Active,0,0
2241207,100722,-1,0,0,0,0,0,0,0,806.085,0,0,0,0,0,0,0,0,7,Active,0,0
1944493,101111,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Completed,0,0
1060558,100048,-2,27302.4,225000,27000,27000,0,0,0,1458.27,1458.27,25541.73,25956.9,25956.9,1,1,0,0,17,Active,0,0
2234740,100169,-7,0,405000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Active,0,0
1880847,100135,-5,0,90000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Active,0,0
2343848,100754,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,Completed,0,0
1787234,100059,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Completed,0,0
2241207,100722,-80,128740.455,135000,0,0,0,0,6750,13500,13500,123781.275,128740.455,128740.455,0,0,0,0,3,Active,0,0
1944493,101111,-42,0,0,0,0,0,0,0,164.43,0,0,0,0,0,0,0,0,3,Active,0,0
2241207,100722,-44,0,0,0,0,0,0,0,806.085,0,0,-806.085,-806.085,0,0,0,0,7,Active,0,0
2241207,100722,-10,0,0,0,0,0,0,0,806.085,0,0,0,0,0,0,0,0,7,Active,0,0
1880847,100135,-14,0,90000,0,0,0,0,0,806.085,0,0,0,0,0,0,0,0,0,Active,0,0
1787234,100059,-11,0,90000,0,0,0,0,0,806.085,0,0,0,0,0,0,0,0,0,Active,0,0
1060558,100048,-18,146181.015,225000,0,0,0,0,8012.61,9000,9000,142251.795,147500.73,147500.73,0,0,0,0,12,Active,0,0
2343848,100754,-17,124771.005,900000,67500,67500,0,0,3317.22,13544.37,13544.37,120300.075,122573.43,122573.43,1,1,0,0,5,Active,0,0
2241207,100722,-13,0,0,0,0,0,0,0,806.085,0,0,0,0,0,0,0,0,7,Active,0,0
2241207,100722,-54,0,0,0,0,0,0,0,806.085,0,0,0,0,0,0,0,0,7,Active,0,0
2343848,100754,-23,0,900000,0,0,0,0,0,806.085,0,0,0,0,0,0,0,0,0,Active,0,0
1944493,101111,-16,0,0,0,0,0,0,0,164.43,0,0,0,0,0,0,0,0,3,Active,0,0
2241207,100722,-22,0,0,0,0,0,0,0,806.085,0,0,0,0,0,0,0,0,7,Active,0,0
2241207,100722,-69,0,135000,0,0,0,0,0,806.085,0,0,0,0,0,0,0,0,7,Active,0,0
2241207,100722,-17,0,0,0,0,0,0,0,806.085,0,0,0,0,0,0,0,0,7,Active,0,0
2234740,100169,-9,0,405000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Active,0,0
1944493,101111,-65,0,0,0,0,0,0,0,164.43,0,0,0,0,0,0,0,0,3,Active,0,0
2241207,100722,-82,143698.68,135000,0,0,0,0,6750,0,0,135000,143698.68,143698.68,0,0,0,0,1,Active,1,1
2241207,100722,-39,0,0,0,0,0,0,0,806.085,0,0,0,0,0,0,0,0,7,Active,0,0
1060558,100048,-9,0,225000,0,0,0,0,0,1458.27,1458.27,0,0,0,0,0,0,0,17,Active,0,0
2241207,100722,-87,0,135000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,Active,0,0
1944493,101111,-71,0,180000,0,0,0,0,0,164.43,0,0,0,0,0,0,0,0,3,Active,0,0
2241207,100722,-8,0,0,0,0,0,0,0,806.085,0,0,0,0,0,0,0,0,7,Active,0,0
1060558,100048,-3,0,225000,0,0,0,0,0,1458.27,1458.27,0,0,0,0,0,0,0,17,Active,0,0
2241207,100722,-2,0,0,0,0,0,0,0,806.085,0,0,0,0,0,0,0,0,7,Active,0,0
2241207,100722,-37,0,0,0,0,0,0,0,806.085,0,0,0,0,0,0,0,0,7,Active,0,0
1727561,100218,-8,742825.17,720000,0,18900,0,18900,36662.31,37350,37350,714796.38,736070.22,736070.22,0,1,0,1,4,Active,0,0
1944493,101111,-63,0,0,0,0,0,0,0,164.43,0,0,0,0,0,0,0,0,3,Active,0,0
1060558,100048,-27,85617.27,225000,0,0,0,0,4610.34,4950,4950,82306.98,86429.385,86429.385,0,0,0,0,3,Active,0,0
1060558,100048,-8,0,225000,0,0,0,0,0,1458.27,1458.27,0,0,0,0,0,0,0,17,Active,0,0
1944493,101111,-10,0,0,0,0,0,0,0,164.43,0,0,0,0,0,0,0,0,3,Active,0,0
1944493,101111,-51,0,0,0,0,0,0,0,164.43,0,0,-164.43,-164.43,0,0,0,0,3,Active,0,0
2241207,100722,-73,0,135000,0,0,0,0,0,806.085,0,0,0,0,0,0,0,0,7,Active,0,0
1944493,101111,-76,0,180000,0,0,0,0,2787.48,2951.91,2925,0,0,0,0,0,0,0,3,Active,0,0
1880847,100135,-11,0,90000,0,0,0,0,0,2951.91,0,0,0,0,0,0,0,0,0,Active,0,0
1060558,100048,-24,129622.95,225000,0,17172,0,17172,5772.555,5850,5850,126772.785,130607.145,130607.145,0,1,0,1,6,Active,0,0
2234740,100169,-13,90.36,405000,0,0,0,0,11846.835,241890.39,239640.39,0,90.36,90.36,0,0,0,0,1,Active,0,0
2241207,100722,-66,0,0,0,0,0,0,0,806.085,0,0,0,0,0,0,0,0,7,Active,0,0
2241207,100722,-19,0,0,0,0,0,0,0,806.085,0,0,0,0,0,0,0,0,7,Active,0,0
2241207,100722,-35,0,0,0,0,0,0,0,806.085,0,0,0,0,0,0,0,0,7,Active,0,0
2241207,100722,-85,0,135000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Active,0,0
2343848,100754,-18,66673.035,900000,7200,7200,0,0,2789.1,14707.08,14707.08,59493.375,63982.035,63982.035,2,2,0,0,4,Active,0,0
1944493,101111,-59,0,0,0,0,0,0,0,164.43,0,0,0,0,0,0,0,0,3,Active,0,0
2241207,100722,-45,0,0,0,0,0,0,0,806.085,0,0,-806.085,-806.085,0,0,0,0,7,Active,0,0
2241207,100722,-40,0,0,0,0,0,0,0,806.085,0,0,0,0,0,0,0,0,7,Active,0,0
1060558,100048,-30,212013,225000,0,212013,0,212013,0,806.085,0,212013,212013,212013,0,2,0,2,7,Active,0,0
2343848,100754,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,Completed,0,0
1944493,101111,-17,0,0,0,0,0,0,0,164.43,0,0,0,0,0,0,0,0,3,Active,0,0
1944493,101111,-78,25623.09,180000,0,0,0,0,9000,4500,4500,22400.505,25623.09,25623.09,0,0,0,0,1,Active,1,1
2241207,100722,-56,0,0,0,0,0,0,0,806.085,0,0,0,0,0,0,0,0,7,Active,0,0
1787234,100059,-6,0,0,0,0,0,0,0,806.085,0,0,0,0,0,0,0,0,0,Active,0,0
2241207,100722,-79,10647.72,135000,0,0,0,0,6750,121500,121500,7240.455,10647.72,10647.72,0,0,0,0,4,Active,0,0
2234740,100169,-11,351.36,405000,0,0,0,0,220.86,0,0,0,220.86,220.86,0,0,0,0,3,Active,18,0
1060558,100048,-14,0,225000,0,0,0,0,1996.38,3585.15,3585.15,0,0,0,0,0,0,0,16,Active,0,0
1880847,100135,-15,0,90000,0,0,0,0,0,3585.15,0,0,0,0,0,0,0,0,0,Active,0,0
1787234,100059,-5,0,0,0,0,0,0,0,3585.15,0,0,0,0,0,0,0,0,0,Completed,0,0
2343848,100754,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,Completed,0,0
1880847,100135,-3,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Active,0,0
1944493,101111,-28,0,0,0,0,0,0,0,164.43,0,0,0,0,0,0,0,0,3,Active,0,0
2241207,100722,-4,0,0,0,0,0,0,0,806.085,0,0,0,0,0,0,0,0,7,Active,0,0
1060558,100048,-7,0,225000,0,0,0,0,0,1458.27,1458.27,0,0,0,0,0,0,0,17,Active,0,0
1944493,101111,-31,0,0,0,0,0,0,0,164.43,0,0,0,0,0,0,0,0,3,Active,0,0
1944493,101111,-60,0,0,0,0,0,0,0,164.43,0,0,0,0,0,0,0,0,3,Active,0,0
2241207,100722,-81,135391.275,135000,0,0,0,0,6750,13500,13500,130198.68,137281.275,139171.275,0,0,0,0,2,Active,0,0
2234740,100169,-12,220.86,405000,0,0,0,0,2250,0,0,0,90.36,90.36,0,0,0,0,2,Active,0,0
1944493,101111,-56,0,0,0,0,0,0,0,164.43,0,0,0,0,0,0,0,0,3,Active,0,0
2241207,100722,-70,0,135000,0,0,0,0,0,806.085,0,0,0,0,0,0,0,0,7,Active,0,0
2241207,100722,-58,0,0,0,0,0,0,0,806.085,0,0,0,0,0,0,0,0,7,Active,0,0
1060558,100048,-5,0,225000,0,0,0,0,0,1458.27,1458.27,0,0,0,0,0,0,0,17,Active,0,0
1944493,101111,-34,0,0,0,0,0,0,0,164.43,0,0,0,0,0,0,0,0,3,Active,0,0
2241207,100722,-33,0,0,0,0,0,0,0,806.085,0,0,0,0,0,0,0,0,7,Active,0,0
1944493,101111,-67,0,0,0,0,0,0,0,164.43,0,0,0,0,0,0,0,0,3,Active,0,0
2241207,100722,-34,0,0,0,0,0,0,0,806.085,0,0,0,0,0,0,0,0,7,Active,0,0
1375058,100662,-8,0,270000,0,0,0,0,0,806.085,0,0,0,0,0,0,0,0,0,Active,0,0
2234740,100169,-5,0,27000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Active,0,0
2241207,100722,-75,0,135000,0,0,0,0,0,806.085,225,0,0,0,0,0,0,0,7,Active,0,0
1060558,100048,-1,280.89,225000,0,0,0,0,2250,23400,23400,0,0,0,0,0,0,0,18,Active,0,0
