SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,CNT_INSTALMENT,CNT_INSTALMENT_FUTURE,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
2547775,100676,-41,24,12,Active,0,0
2687776,100457,-16,24,23,Active,0,0
1653280,100442,-37,24,14,Active,0,0
1474042,101037,-38,48,40,Active,0,0
1364429,100525,-24,12,0,Completed,0,0
2092772,100536,-41,24,12,Active,0,0
1771190,100292,-46,23,0,Completed,0,0
1309253,100165,-44,12,2,Active,0,0
1080126,100879,-44,12,3,Active,0,0
2001170,100421,-40,12,4,Active,0,0
2505263,100950,-40,12,5,Active,0,0
1159714,100624,-34,24,2,Active,0,0
1374221,100217,-37,12,3,Active,0,0
2426800,100047,-40,24,2,Active,0,0
1159714,100624,-41,24,9,Active,0,0
2118972,100639,-56,11,11,Active,0,0
1062042,100191,-9,30,25,Active,0,0
2079853,100324,-6,24,19,Active,0,0
1883127,100867,-5,6,4,Active,0,0
1674812,101136,-3,6,3,Active,0,0
1982422,100591,-12,24,22,Active,0,0
2813537,100105,-40,10,6,Active,0,0
1711086,100169,-4,48,37,Active,0,0
1062042,100191,-3,30,19,Active,0,0
1711086,100169,-12,48,46,Active,0,0
1206441,100139,-23,6,3,Active,0,0
1367556,100685,-4,30,11,Active,0,0
1973272,101032,-3,54,31,Active,0,0
2584916,100280,-18,36,33,Active,0,0
2586657,100472,-74,10,0,Active,0,0
2138999,100681,-95,8,8,Active,0,0
2717346,100675,-12,60,59,Active,0,0
2345130,100347,-16,24,24,Active,0,0
2036115,101081,-4,24,0,Active,0,0
2307166,100617,-23,14,12,Active,0,0
2036115,101081,-17,36,26,Active,0,0
1877709,100558,-5,48,48,Active,0,0
2078276,100825,-38,12,1,Active,0,0
1673266,101026,-13,24,12,Active,0,0
1822697,101134,-15,24,15,Active,0,0
2345130,100347,-9,24,17,Active,0,0
1042916,100132,-12,6,0,Completed,0,0
2438959,100152,-10,42,30,Active,0,0
2219948,100786,-20,42,37,Active,0,0
2033576,100144,-12,18,0,Completed,0,0
2648873,100325,-6,24,8,Active,0,0
2708050,100111,-33,10,10,Signed,0,0
1692033,100007,-3,24,15,Active,0,0
1922253,100908,-12,24,11,Active,0,0
1027351,100395,-9,6,4,Active,0,0
1326955,101019,-20,24,18,Active,0,0
2716843,100647,-6,12,3,Active,0,0
2444845,100090,-4,60,57,Active,0,0
1772941,101078,-9,18,12,Active,0,0
1378354,100642,-1,60,30,Active,0,0
2568379,100727,-19,12,10,Active,0,0
2262877,100435,-74,16,13,Active,0,0
1062042,100191,-10,30,26,Active,0,0
1982422,100591,-6,24,16,Active,0,0
1024836,100302,-11,24,21,Active,0,0
2679109,100887,-39,6,0,Completed,0,0
1368766,101078,-39,12,2,Active,0,0
1188836,100723,-2,36,21,Active,0,0
2199957,100613,-5,6,1,Active,0,0
1188836,100723,-15,36,34,Active,0,0
1770512,100497,-12,10,8,Active,0,0
2730549,100455,-12,12,8,Active,0,0
1153796,101001,-15,10,8,Active,0,0
1711086,100169,-6,48,39,Active,0,0
1975785,100753,-18,6,5,Active,0,0
1164942,100377,-8,6,2,Active,0,0
2566708,100813,-11,48,36,Active,0,0
2490567,100687,-7,11,0,Completed,0,0
2648873,100325,-13,24,15,Active,0,0
1223113,100046,-11,18,12,Active,0,0
1172582,100825,-9,12,8,Active,0,0
1585136,100697,-6,60,53,Active,0,0
1370001,100317,-13,12,2,Active,0,0
1194857,100061,-14,30,21,Active,0,0
2681534,100651,-12,12,5,Active,0,0
2409142,100539,-5,24,4,Active,0,0
1058336,100339,-10,24,18,Active,0,0
1110212,100098,-9,18,6,Active,0,0
1922253,100908,-13,24,12,Active,0,0
1906048,101139,-7,12,0,Completed,0,0
2099976,100660,-10,24,23,Active,0,0
1126945,100604,-16,24,20,Active,0,0
2214878,100524,-61,12,12,Active,0,0
1017235,100603,-93,6,5,Active,0,0
1821665,101057,-17,12,9,Active,0,0
1751633,100106,-5,18,9,Active,0,0
1009688,100125,-16,24,11,Active,0,0
2154353,100812,-3,12,2,Active,0,0
2803085,100540,-3,18,7,Active,0,0
1085508,100362,-20,36,5,Active,0,0
1734081,100589,-23,24,17,Active,0,0
2149224,100539,-40,12,5,Active,0,0
2574960,100913,-48,36,30,Active,0,0
1646735,100685,-38,18,18,Active,0,0
2127220,100967,-48,12,10,Active,0,0
1085508,100362,-42,36,27,Active,0,0
1771190,100292,-53,23,7,Active,0,0
1437162,100299,-41,12,0,Completed,0,0
2505263,100950,-47,12,12,Signed,0,0
1287918,100424,-19,24,19,Active,0,0
1368766,101078,-38,12,1,Active,0,0
2820454,100383,-40,24,9,Active,0,0
1915520,101024,-47,9,1,Active,0,0
1086553,101090,-47,24,24,Active,0,0
2820454,100383,-33,24,2,Active,0,0
1212261,100053,-2,12,3,Active,0,0
1438743,100238,-76,9,5,Active,0,0
1335339,101046,-39,8,6,Active,0,0
2426087,100754,-11,60,59,Active,0,0
2128035,100569,-12,12,5,Active,0,0
1536641,100466,-11,30,18,Active,0,0
1949052,100577,-3,18,8,Active,0,0
2173839,100585,-20,48,31,Active,0,0
1367556,100685,-23,30,30,Active,0,0
1239484,100509,-2,8,0,Completed,0,0
2181223,100818,-15,12,11,Active,0,0
1165678,100618,-12,30,15,Active,0,0
2178516,100123,-8,24,0,Completed,0,0
1642058,100800,-5,18,12,Active,0,0
1642058,100800,-11,18,18,Active,0,0
1923164,100402,-8,6,5,Active,0,0
2671884,100099,-21,12,7,Active,0,0
1205384,100851,-10,6,4,Active,0,0
1779586,100611,-79,9,7,Active,0,0
1398813,100579,-64,6,2,Active,0,0
2714337,101110,-59,8,7,Active,0,0
1959202,100414,-9,12,9,Active,0,0
1819675,101088,-22,24,16,Active,0,0
1852094,100466,-17,36,18,Active,0,0
2479932,100136,-9,24,8,Active,0,0
1290739,100370,-16,12,0,Completed,0,0
1929585,100450,-17,36,34,Active,0,0
1603086,100499,-1,12,8,Active,0,0
1896659,100869,-64,5,5,Active,0,0
1231722,100083,-5,24,2,Active,0,0
1082231,100217,-56,12,12,Active,0,0
2087478,100409,-39,8,3,Active,0,0
2310594,101009,-12,4,1,Active,0,0
2453834,101037,-9,36,32,Active,0,0
1374844,101093,-12,60,44,Active,0,0
1191663,100060,-11,36,32,Active,0,0
2505229,100746,-74,24,17,Active,28,0
1080512,100933,-86,8,6,Active,0,0
1223113,100046,-10,18,11,Active,0,0
1578801,100865,-8,6,1,Active,0,0
2830634,100684,-12,36,35,Active,0,0
1194857,100061,-7,30,14,Active,0,0
1518189,100745,-26,12,2,Active,0,0
1620394,100270,-35,6,4,Active,0,0
2597620,100734,-64,10,7,Active,0,0
2221470,100351,-19,4,0,Completed,0,0
1673266,101026,-19,24,18,Active,0,0
2481448,101017,-4,48,36,Active,0,0
2705391,101032,-62,18,15,Active,0,0
1257528,100473,-17,18,10,Active,0,0
1186081,100370,-9,12,1,Active,0,0
1535952,100589,-63,10,8,Active,0,0
2622301,100297,-15,12,10,Active,0,0
2432123,101138,-89,10,9,Active,0,0
1921239,100775,-15,30,23,Active,0,0
2696580,100347,-86,10,9,Active,0,0
2632444,100161,-10,6,6,Active,0,0
1043042,100859,-1,24,10,Active,0,0
1223113,100046,-4,18,5,Active,0,0
1465407,100773,-77,10,3,Active,0,0
1676876,100502,-21,24,20,Active,0,0
1172582,100825,-8,12,7,Active,0,0
1058336,100339,-3,24,11,Active,0,0
2648873,100325,-12,24,14,Active,0,0
1030698,101092,-41,12,12,Active,0,0
1172582,100825,-2,12,1,Active,0,0
1367556,100685,-9,30,16,Active,0,0
2480304,100012,-12,18,13,Active,0,0
2408142,100080,-3,42,32,Active,0,0
2408142,100080,-9,42,38,Active,0,0
1698177,100535,-24,24,4,Active,0,0
2369733,100919,-19,19,3,Active,0,0
2661304,101116,-76,12,9,Active,0,0
2707311,101137,-9,12,12,Active,0,0
2372510,101141,-10,24,18,Active,0,0
2619450,100277,-10,10,9,Active,0,0
1922675,100550,-56,11,8,Active,0,0
1333673,100566,-60,10,8,Active,0,0
1165678,100618,-19,30,22,Active,0,0
1921239,100775,-16,30,24,Active,0,0
2431974,100303,-43,18,7,Active,0,0
1257528,100473,-16,18,9,Active,0,0
2339761,100063,-23,36,35,Active,0,0
1865522,101020,-82,10,4,Active,0,0
1418075,100440,-10,48,27,Active,0,0
2198706,100414,-39,10,10,Signed,0,0
1395207,100273,-10,48,36,Active,0,0
2481448,101017,-16,48,48,Signed,0,0
1252025,100524,-13,12,8,Active,0,0
1557245,100240,-12,36,31,Active,0,0
1684441,100077,-9,6,5,Active,0,0
2051045,100311,-17,12,11,Active,0,0
1585136,100697,-11,60,58,Active,0,0
2571217,100937,-11,6,4,Active,0,0
2600002,100223,-17,12,5,Active,0,0
1441779,100383,-18,24,19,Active,0,0
2741645,101094,-2,24,19,Active,0,0
2769249,100017,-73,10,3,Active,0,0
1839661,100422,-18,18,0,Completed,0,0
1922253,100908,-20,24,19,Active,0,0
2748693,101138,-5,24,11,Active,0,0
1259168,100440,-11,18,6,Active,0,0
1876755,100067,-23,12,11,Active,0,0
2784823,101018,-20,36,17,Active,0,0
2165394,100797,-23,12,8,Active,0,0
2524832,100548,-7,12,9,Active,0,0
2164190,100012,-7,24,3,Active,0,0
2486840,100831,-64,12,4,Active,0,0
2195298,100917,-5,18,17,Active,0,0
1336846,100685,-16,24,4,Active,0,0
2683203,100147,-9,36,33,Active,0,0
1281859,100131,-9,15,0,Completed,0,0
1573589,100582,-11,36,28,Active,0,0
2784823,101018,-13,36,10,Active,0,0
1459364,100737,-1,12,2,Active,0,0
1955651,100393,-13,21,1,Active,0,0
1261042,100379,-11,6,3,Active,0,0
1158559,100515,-23,48,43,Active,0,0
2492534,100524,-7,24,22,Active,0,0
1418075,100440,-18,48,35,Active,0,0
1621761,100630,-17,18,18,Active,0,0
1487316,100137,-14,4,2,Active,0,0
2474874,100920,-76,8,5,Active,0,0
2322564,101152,-33,5,0,Completed,0,0
2712704,100622,-41,12,7,Active,0,0
2481448,101017,-10,48,42,Active,0,0
1135571,100443,-9,24,13,Active,0,0
1989636,100363,-16,6,3,Active,0,0
1244108,100144,-12,12,12,Active,0,0
2203713,100080,-9,36,12,Active,0,0
2408364,100995,-23,36,28,Active,0,0
2339761,100063,-9,36,20,Active,0,0
2611390,100757,-16,12,10,Active,0,0
2648873,100325,-7,24,9,Active,0,0
1027351,100395,-10,6,5,Active,0,0
2099731,101123,-90,6,3,Active,0,0
2447843,100860,-21,12,11,Active,0,0
2452416,100247,-21,48,48,Active,0,0
1331867,100466,-18,24,13,Active,0,0
2110141,100922,-7,36,21,Active,0,0
1618456,100631,-4,12,6,Active,0,0
1044450,100185,-10,24,14,Active,0,0
1212261,100053,-3,12,4,Active,0,0
2379013,100743,-14,18,7,Active,0,0
1852094,100466,-25,36,26,Active,0,0
1441779,100383,-11,13,0,Completed,0,0
2573195,100341,-73,6,3,Active,0,0
2409142,100539,-11,24,10,Active,0,0
1589137,100247,-1,60,41,Active,0,0
2490567,100687,-13,12,6,Active,0,0
2064478,100147,-16,24,17,Active,0,0
2476256,100919,-59,12,10,Active,0,0
1240272,100311,-18,18,6,Active,0,0
1418075,100440,-11,48,28,Active,0,0
2339761,100063,-16,36,28,Active,0,0
1811514,100027,-10,12,7,Active,0,0
1335039,100181,-4,60,52,Active,0,0
2427227,100769,-11,10,10,Active,0,0
1080037,100545,-57,10,5,Active,0,0
1185699,100043,-74,8,2,Active,0,0
2496683,100504,-18,42,37,Active,0,0
1185166,100286,-8,12,12,Active,0,0
2662241,101070,-12,10,6,Active,0,0
1434599,100829,-8,11,6,Active,0,0
2159198,100288,-12,12,10,Active,0,0
2783626,100310,-12,1,0,Completed,0,0
1331715,100923,-40,12,6,Active,0,0
2191604,100968,-11,12,12,Active,0,0
2099751,100432,-16,12,12,Active,0,0
1474444,100802,-10,48,42,Active,0,0
1611271,101018,-28,24,22,Active,0,0
1268771,101022,-39,24,18,Active,0,0
1206911,100761,-39,6,2,Active,0,0
1960131,100993,-35,42,39,Active,0,0
2482856,100381,-34,12,11,Active,0,0
1414489,100714,-39,14,3,Active,0,0
1903124,100620,-18,12,9,Active,0,0
2566778,101091,-43,12,2,Active,0,0
2803221,100045,-38,14,3,Active,0,0
2668405,100285,-21,12,12,Active,0,0
1682222,101120,-40,24,24,Signed,0,0
1901600,100461,-32,30,9,Active,0,0
1944898,100785,-39,18,0,Signed,0,0
2295433,100600,-51,10,6,Active,0,0
1745128,100973,-27,8,0,Completed,0,0
2562504,100379,-19,6,4,Active,0,0
2814271,100561,-19,2,0,Completed,0,0
1508806,100514,-17,3,0,Active,0,0
2350419,100268,-63,12,3,Active,0,0
2178516,100123,-16,24,8,Active,0,0
2209693,101101,-3,24,3,Active,0,0
2497533,100493,-90,4,1,Active,0,0
2696580,100347,-87,10,10,Active,0,0
2833575,100905,-12,48,45,Active,0,0
2209693,101101,-10,24,10,Active,0,0
1513534,101018,-76,10,1,Active,0,0
1915013,100271,-13,36,14,Active,0,0
1921239,100775,-10,30,18,Active,0,0
1343632,100859,-16,18,7,Active,0,0
2224510,101018,-76,10,2,Active,0,0
1589137,100247,-13,60,53,Active,0,0
2379482,100269,-6,18,18,Active,0,0
1692033,100007,-9,24,21,Active,0,0
1906048,101139,-12,12,5,Active,0,0
1618456,100631,-9,12,11,Active,0,0
2426087,100754,-3,60,51,Active,0,0
2452416,100247,-13,48,40,Active,0,0
2517693,100233,-6,30,12,Active,0,0
1052115,101058,-90,3,1,Active,0,0
1541029,101043,-5,12,7,Active,0,0
1229823,101152,-9,36,22,Active,0,0
1944776,100054,-40,12,11,Active,0,0
2110141,100922,-12,36,26,Active,0,0
1044450,100185,-17,24,22,Active,0,0
2128035,100569,-18,12,11,Active,0,0
2819017,100796,-23,36,23,Active,0,0
1850972,100557,-20,42,27,Active,0,0
1344938,100303,-7,24,21,Active,0,0
1751583,100539,-74,12,9,Active,0,0
2396255,100603,-9,30,21,Active,0,0
2226176,100939,-17,60,54,Active,0,0
2396255,100603,-15,30,27,Active,0,0
2819017,100796,-15,36,15,Active,0,0
1390161,100090,-12,12,5,Active,0,0
1276448,100837,-9,24,20,Active,0,0
1743440,101035,-10,24,23,Active,0,0
2507817,101048,-12,36,28,Active,0,0
1865209,100622,-17,12,7,Active,0,0
1213244,100784,-19,54,47,Active,0,0
2714390,100780,-33,12,12,Active,0,0
1835379,101044,-9,42,35,Active,0,0
2578286,100736,-35,13,0,Completed,0,0
2194632,100170,-44,12,1,Active,0,0
1213244,100784,-12,54,39,Active,2,2
2464738,100210,-87,7,4,Active,0,0
2466590,100206,-17,60,26,Active,0,0
2408142,100080,-10,42,39,Active,0,0
2480304,100012,-7,18,8,Active,0,0
2566778,101091,-46,12,6,Active,0,0
1110986,100594,-90,4,4,Active,0,0
2173839,100585,-7,48,17,Active,0,0
2572058,100053,-16,24,19,Active,0,0
2522140,100896,-16,42,41,Active,0,0
1769090,100624,-90,10,8,Active,0,0
1539382,100425,-14,12,7,Active,0,0
1083527,100939,-73,7,1,Active,0,0
1589412,100487,-17,36,34,Active,0,0
1003617,100699,-18,36,26,Active,0,0
2505529,101072,-35,6,6,Active,0,0
1043042,100859,-15,24,24,Active,0,0
2209693,101101,-9,24,9,Active,0,0
1131053,100023,-73,8,1,Active,0,0
2748602,100445,-17,12,2,Active,0,0
1777802,100556,-34,12,11,Active,0,0
1165678,100618,-18,30,21,Active,0,0
2189956,100992,-32,12,8,Active,0,0
2209693,101101,-15,24,15,Active,0,0
2328994,100846,-17,6,6,Active,0,0
1849475,100478,-27,12,8,Active,0,0
2671109,100923,-21,6,2,Active,0,0
2467854,100716,-46,12,5,Active,0,0
2203713,100080,-11,36,14,Active,0,0
1309305,100480,-40,12,8,Active,0,0
1158695,100281,-19,36,23,Active,0,0
1395207,100273,-6,48,32,Active,0,0
2479430,100793,-73,18,11,Active,0,0
1684441,100077,-5,5,0,Completed,0,0
2203713,100080,-5,36,8,Active,0,0
1290739,100370,-19,12,3,Active,0,0
1231722,100083,-22,24,19,Active,0,0
1335603,100536,-77,10,3,Active,0,0
2448326,100496,-77,24,15,Active,0,0
1335603,100536,-79,10,5,Active,0,0
1520511,100789,-75,24,12,Active,0,0
1345069,100079,-21,6,5,Active,0,0
1026812,100929,-22,36,22,Active,0,0
1925841,100547,-21,10,4,Active,0,0
2448326,100496,-75,24,13,Active,0,0
1251047,100016,-25,24,14,Active,0,0
1043064,100671,-35,24,23,Active,0,0
2824581,100362,-38,18,0,Completed,0,0
2220879,100675,-54,9,7,Active,0,0
2714514,100792,-54,12,5,Active,0,0
2465382,100815,-52,10,10,Active,0,0
2254106,100204,-34,10,4,Active,0,0
2327930,100038,-26,12,11,Active,0,0
2056192,100028,-26,10,10,Active,0,0
1745128,100973,-28,10,3,Active,0,0
2687170,100124,-32,8,4,Active,0,0
2541857,100279,-28,8,4,Active,0,0
1391985,100605,-20,12,12,Active,0,0
2220879,100675,-48,9,1,Active,0,0
2541232,101134,-44,12,11,Active,0,0
2292599,100902,-56,12,9,Active,0,0
2249318,100708,-45,6,0,Completed,0,0
1743021,100518,-41,12,9,Active,0,0
1125495,100298,-31,6,2,Active,0,0
2751434,100400,-45,6,0,Completed,0,0
1921372,100527,-45,10,6,Active,0,0
2518573,100524,-21,12,9,Active,0,0
2469891,100564,-67,12,4,Active,0,0
2803221,100045,-41,14,6,Active,0,0
1717176,100451,-6,18,9,Active,0,0
1728061,100212,-23,6,5,Active,0,0
2833575,100905,-6,48,38,Active,0,0
1610623,100952,-26,24,21,Active,0,0
2465816,100708,-72,10,2,Active,15,0
1260110,100182,-4,48,45,Active,0,0
2178516,100123,-9,24,1,Active,0,0
1866199,100101,-15,12,6,Active,0,0
1717755,100423,-7,36,33,Active,0,0
1430083,100950,-58,12,10,Active,0,0
1538693,101069,-59,6,2,Active,0,0
1459920,100521,-76,5,1,Active,0,0
2094536,100098,-86,1,1,Active,0,0
1157860,100685,-39,4,2,Active,0,0
1437162,100299,-5,12,0,Completed,0,0
2154353,100812,-1,12,0,Completed,0,0
1865796,100013,-66,9,9,Signed,0,0
2408364,100995,-15,36,20,Active,0,0
2396758,100100,-7,30,14,Active,0,0
1076949,100498,-15,36,13,Active,0,0
1557245,100240,-6,11,0,Completed,0,0
1811514,100027,-9,12,6,Active,0,0
1005765,100569,-29,4,1,Active,0,0
1950847,100061,-44,12,4,Active,0,0
1056945,100213,-18,12,0,Completed,1810,0
1154425,100735,-43,6,1,Active,0,0
1209037,100416,-29,11,6,Active,0,0
2244872,100069,-43,12,4,Active,0,0
1052940,100137,-69,10,4,Active,0,0
2759785,100344,-92,6,5,Active,0,0
1514918,100049,-39,10,0,Completed,0,0
1751633,100106,-6,18,10,Active,0,0
2467854,100716,-45,12,4,Active,0,0
1395207,100273,-12,48,38,Active,0,0
2339761,100063,-17,36,29,Active,0,0
2481448,101017,-5,48,37,Active,0,0
1309305,100480,-39,12,7,Active,0,0
1213244,100784,-6,54,33,Active,4,4
1650150,100778,-4,24,15,Active,0,0
2078276,100825,-39,12,2,Active,0,0
2504616,101129,-14,10,0,Completed,0,0
1930676,100223,-19,48,35,Active,0,0
1684764,100879,-17,48,31,Active,0,0
1026812,100929,-6,36,6,Active,0,0
1596628,100703,-39,10,0,Completed,0,0
2630450,101057,-6,12,11,Active,0,0
2628267,101088,-9,36,32,Active,0,0
2772498,100547,-41,10,5,Active,5,5
1386681,101084,-47,10,3,Active,0,0
2085429,100312,-82,24,11,Active,14,0
1514328,100032,-44,6,1,Active,0,0
1929585,100450,-19,36,36,Active,0,0
1520511,100789,-74,24,11,Active,0,0
1283771,100257,-91,6,6,Active,0,0
2386410,100895,-73,12,2,Active,0,0
1056945,100213,-5,12,0,Completed,2205,0
1221431,100189,-5,36,32,Active,0,0
1239484,100509,-9,48,47,Active,0,0
1770795,100760,-19,18,17,Active,0,0
1717176,100451,-12,18,15,Active,0,0
2707039,100896,-16,42,34,Active,0,0
2717346,100675,-6,60,53,Active,0,0
2586131,100335,-38,24,18,Active,0,0
1164982,100315,-44,6,1,Active,0,0
1365102,100798,-40,4,4,Active,0,0
1570588,100147,-39,10,9,Active,0,0
2429122,100387,-14,12,9,Active,0,0
2611390,100757,-18,12,12,Active,0,0
2199481,100500,-55,11,7,Active,0,0
2165415,100831,-53,10,6,Active,0,0
2708050,100111,-26,6,0,Completed,0,0
2756589,100675,-42,12,9,Active,0,0
1412747,100863,-45,9,0,Active,0,0
1244920,100486,-45,12,10,Active,0,0
1159714,100624,-37,24,5,Active,0,0
1083818,101121,-38,12,12,Signed,0,0
1557683,100327,-58,6,3,Active,0,0
1594274,100736,-93,4,3,Active,0,0
1271572,100671,-20,24,18,Active,0,0
2074147,100168,-19,54,47,Active,0,0
2180740,100510,-19,60,23,Active,0,0
1231722,100083,-6,24,3,Active,0,0
1618647,100426,-72,10,1,Active,0,0
2479932,100136,-4,24,3,Active,0,0
2727549,100731,-22,6,2,Active,0,0
1214377,100791,-18,12,7,Active,0,0
2179840,100030,-10,6,4,Active,0,0
1589241,100110,-11,3,0,Completed,0,0
1717755,100423,-6,36,32,Active,0,0
1751633,100106,-2,18,6,Active,0,0
1287404,100708,-10,3,0,Completed,0,0
1456596,100351,-13,6,0,Completed,0,0
1949052,100577,-11,18,16,Active,0,0
2444845,100090,-3,60,56,Active,0,0
1264119,100826,-28,36,32,Active,0,0
2613879,100008,-19,30,28,Active,0,0
1252218,100026,-42,6,1,Active,0,0
2116562,100685,-47,12,6,Active,0,0
2539552,100895,-93,12,11,Active,0,0
2354983,100991,-41,6,0,Completed,0,0
1378354,100642,-26,60,55,Active,0,0
1044450,100185,-20,24,24,Signed,0,0
1233905,100087,-5,12,3,Active,0,0
2074147,100168,-18,54,46,Active,0,0
1684764,100879,-3,48,16,Active,0,0
1496518,100180,-18,24,16,Active,0,0
2244872,100069,-42,12,3,Active,0,0
1285951,101075,-63,11,3,Active,0,0
1671489,101050,-14,10,6,Active,0,0
1974613,100938,-10,12,12,Active,0,0
1751633,100106,-12,18,16,Active,0,0
1852094,100466,-12,36,13,Active,0,0
2803085,100540,-10,18,15,Active,0,0
2415311,100712,-89,4,2,Active,0,0
1449038,100549,-62,10,0,Active,0,0
2209693,101101,-17,24,17,Active,0,0
1921239,100775,-17,30,25,Active,0,0
1003617,100699,-20,36,28,Active,0,0
2396255,100603,-10,30,22,Active,0,0
1474042,101037,-16,48,18,Active,0,0
2529084,100818,-20,2,0,Completed,0,0
1091843,101048,-7,24,20,Active,0,0
1687286,100186,-44,12,7,Active,0,0
1653280,100442,-39,24,16,Active,0,0
1664231,100189,-15,12,8,Active,0,0
1916607,100702,-23,18,14,Active,0,0
2219948,100786,-7,42,24,Active,0,0
1736742,100802,-4,48,47,Active,0,0
1685847,100498,-10,48,44,Active,0,0
1894454,100701,-5,18,6,Active,0,0
1589137,100247,-14,60,54,Active,0,0
1922253,100908,-7,24,6,Active,0,0
1440046,100920,-76,10,1,Active,0,0
2600002,100223,-12,12,0,Completed,0,0
2409142,100539,-12,24,11,Active,0,0
2377892,100872,-48,5,0,Completed,0,0
1906048,101139,-14,12,7,Active,0,0
2775829,100523,-17,60,54,Active,0,0
2054027,100730,-72,7,0,Completed,0,0
2192051,101110,-35,1,0,Completed,0,0
1013085,100112,-17,6,3,Active,0,0
1391199,100449,-23,10,5,Active,0,0
1473736,100074,-50,10,5,Active,0,0
2479932,100136,-5,24,4,Active,0,0
2630450,101057,-2,12,7,Active,0,0
2024537,100647,-23,12,11,Active,0,0
2524832,100548,-3,12,5,Active,0,0
1959202,100414,-11,12,11,Active,0,0
2486840,100831,-66,12,6,Active,0,0
1772424,100834,-13,24,7,Active,0,0
2683203,100147,-4,36,28,Active,0,0
1510211,100456,-23,6,0,Active,10,0
2396758,100100,-15,30,22,Active,0,0
1186081,100370,-10,12,2,Active,0,0
2062256,100165,-63,12,4,Active,0,0
2149111,100374,-64,10,1,Active,5,0
2273548,100389,-71,10,1,Active,0,0
2791558,100367,-28,12,5,Active,0,0
2741645,101094,-3,24,20,Active,0,0
2525901,100093,-67,12,4,Active,0,0
2307070,100283,-70,10,0,Active,0,0
1058336,100339,-11,24,19,Active,0,0
2648873,100325,-1,24,3,Active,0,0
2600002,100223,-19,12,7,Active,0,0
2033576,100144,-14,18,2,Active,0,0
2490567,100687,-14,12,7,Active,0,0
1194857,100061,-2,30,9,Active,0,0
2608407,100864,-25,6,2,Active,0,0
1003617,100699,-3,36,11,Active,0,0
1165678,100618,-20,30,23,Active,0,0
2328994,100846,-11,6,0,Completed,0,0
1076011,101150,-40,6,0,Completed,0,0
2629499,101043,-13,2,0,Active,0,0
2671546,100914,-12,18,15,Active,0,0
1952084,100388,-40,12,4,Active,0,0
2703026,100838,-23,18,15,Active,0,0
2124892,100143,-10,24,23,Active,0,0
1034422,100419,-48,6,0,Completed,0,0
2471495,100352,-55,8,0,Completed,0,0
2244872,100069,-40,12,0,Active,0,0
1309253,100165,-45,10,4,Active,0,0
2304674,100776,-19,6,1,Active,0,0
1897742,100543,-40,36,36,Active,0,0
2518605,100772,-55,6,1,Active,0,0
2399273,100893,-39,6,2,Active,0,0
2457862,101016,-43,6,6,Active,0,0
1189054,101066,-24,6,6,Active,0,0
2772579,100893,-25,10,3,Active,0,0
1777873,100919,-35,12,3,Active,0,0
1213908,100481,-55,10,9,Active,0,0
2087714,100370,-25,10,0,Completed,0,0
1017952,100676,-43,12,10,Active,0,0
1151890,100785,-39,11,0,Completed,0,0
1209860,100440,-21,24,24,Active,0,0
1596628,100703,-40,10,0,Active,0,0
1386681,101084,-48,10,4,Active,0,0
2014496,100961,-63,6,1,Active,0,0
1256176,101122,-75,24,13,Active,0,0
1448268,100253,-28,60,59,Active,0,0
2293368,100618,-29,48,34,Active,0,0
1520511,100789,-77,24,14,Active,0,0
2475645,100479,-23,14,13,Active,0,0
2219948,100786,-8,42,25,Active,0,0
1440046,100920,-77,10,2,Active,0,0
1194857,100061,-15,30,22,Active,0,0
2657224,100555,-24,5,5,Active,0,0
1499019,101155,-60,10,7,Active,0,0
1563886,101123,-75,9,3,Active,0,0
2203713,100080,-3,36,6,Active,0,0
2507692,100654,-14,36,6,Approved,0,0
1186081,100370,-8,12,0,Active,0,0
1062109,100678,-57,12,9,Active,0,0
1974613,100938,-3,12,5,Active,0,0
1941036,100623,-13,12,7,Active,0,0
